Data Source;Time;Value,
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29TE-2056|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";872.467639246559"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.9513425480916"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2003|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1395.13425480916"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";12.6257227958272"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2004|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1262.57227958272"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";13.9553726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29TE-2035|Temperature|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1395.53726619624"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps|Steady Running State|PI Vission;""2026-07-29 12:47:38","441467"";False"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Hi;""2026-07-29 12:47:38","441467"";0.3"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|HiHi;""2026-07-29 12:47:38","441467"";0.5"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Trigger|Current percent;""2026-07-29 12:47:38","441467"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Trigger|Current percent|Hi;""2026-07-29 12:47:38","441467"";0.3"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Direct|Trigger|Current percent|HiHi;""2026-07-29 12:47:38","441467"";0.5"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Lo;""2026-10-20 11:44:48","031631"";-9.41983340848285"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Based Value;""2026-10-20 11:44:48","031631"";-7.48909044265747"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Hi;""2026-10-20 11:44:48","031631"";-5.55834747683209"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";25.7807404064447"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29XT-2026|Gap|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";2578.07404064447"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Lo;""2026-10-20 11:44:48","031631"";16.8132076263428"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Based Value;""2026-10-20 11:44:48","031631"";35.3232002258301"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Hi;""2026-10-20 11:44:48","031631"";53.8331928253174"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";52.4017996137051"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Direct|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";5240.17996137051"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Lo;""2026-10-20 11:44:48","031631"";-11.3404432294581"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003Y|Gap|Based Value;""2026-10-20 11:44:48","031631"";-10.0186414718628"
